Time,GSR
531422,755
531432,760
531442,755
531452,760
531462,755
531472,760
531482,755
531492,760
531502,754
531512,760
531522,755
531532,760
531543,755
531553,760
531563,755
531573,759
531584,755
531593,760
531603,755
531613,759
531623,755
531633,760
531643,755
531653,759
531663,755
531673,760
531683,755
531693,759
531703,755
531713,760
531732,759
531734,758
531744,756
531755,759
531764,756
531774,759
531784,756
531794,759
531804,756
531814,759
531824,756
531834,759
531844,755
531854,759
531864,756
531874,759
531884,755
531894,759
531904,756
531914,759
531924,757
531934,759
531944,756
531954,759
531964,757
531974,759
531984,756
531994,759
532004,757
532014,759
532024,756
532034,759
532044,757
532055,758
532065,758
532075,758
532085,758
532096,757
532105,758
532115,758
532125,758
532135,757
532145,758
532155,758
532165,758
532175,758
532185,758
532195,758
532205,758
532215,758
532225,758
532235,758
532245,758
532255,758
532265,759
532275,758
532285,758
532295,758
532305,758
532324,757
532327,761
532336,757
532346,759
532356,757
532366,759
532376,757
532386,759
532396,757
532406,759
532416,757
532426,759
532436,756
532446,759
532456,757
532466,759
532476,756
532486,759
532496,757
532506,759
532516,756
532526,759
532536,757
532546,759
532556,756
532567,760
532577,756
532587,760
532597,756
532608,760
532617,756
532627,760
532637,756
532647,760
532657,756
532667,760
532677,756
532687,760
532697,756
532707,760
532717,756
532727,760
532737,756
532747,760
532757,756
532767,760
532777,755
532787,760
532797,756
532807,761
532817,755
532827,760
532837,756
532847,761
532857,755
532867,760
532877,756
532896,755
532899,755
532908,760
532918,755
532928,760
532938,755
532948,760
532958,755
532968,760
532978,755
532988,760
532998,755
533008,760
533018,755
533028,760
533038,755
533048,760
533058,755
533068,760
533079,754
533089,760
533099,755
533109,760
533120,755
533129,760
533139,755
533149,760
533159,755
533169,760
533179,755
533189,760
533199,754
533209,760
533219,755
533229,760
533239,755
533249,760
533259,755
533269,760
533279,755
533289,760
533299,755
533309,760
533319,754
533329,760
533339,755
533349,760
533359,755
533369,760
533379,755
533389,760
533399,755
533409,760
533420,755
533430,760
533440,755
533450,759
533470,759
533473,758
533482,757
533492,758
533502,758
533512,758
533522,757
533532,758
533542,758
533552,758
533562,757
533572,758
533582,758
533592,758
533602,757
533612,758
533622,758
533633,758
533643,758
533653,757
533663,759
533673,757
533683,758
533693,757
533703,759
533713,757
533723,758
533733,757
533743,759
533753,757
533763,758
533773,757
533783,759
533793,757
533804,759
533814,756
533824,760
533834,756
533844,760
533854,756
533864,760
533874,756
533884,760
533894,757
533904,760
533914,756
533924,760
533934,756
533944,760
533954,756
533964,760
533975,756
533985,760
533995,755
534005,761
534016,755
534034,755
534037,755
534046,760
534056,754
534066,760
534076,755
534086,760
534096,754
534106,760
534116,755
534126,760
534136,754
534146,760
534156,755
534166,760
534176,754
534187,760
534196,755
534206,760
534216,754
534226,760
534236,755
534246,760
534256,754
534266,760
534276,755
534286,760
534296,754
534306,760
534316,755
534326,760
534336,754
534346,760
534356,755
534366,760
534376,754
534386,760
534396,755
534406,760
534416,754
534426,760
534436,754
534446,760
534456,754
534466,760
534476,754
534487,760
534497,754
534507,760
534517,755
534528,760
534537,755
534547,760
534557,755
534567,760
534586,759
534589,760
534598,755
534608,759
534618,755
534628,760
534638,755
534648,759
534658,755
534668,759
534678,755
534688,759
534699,755
534708,759
534718,755
534728,759
534738,755
534748,759
534758,755
534768,759
534778,756
534788,759
534798,755
534808,759
534818,756
534828,759
534838,755
534848,759
534858,756
534868,759
534878,755
534888,759
534898,756
534908,759
534918,755
534928,759
534938,756
534948,759
534958,755
534968,759
534978,756
534988,759
534999,756
535009,759
535019,757
535029,758
535040,758
535049,759
535059,757
535069,758
535079,758
535089,759
535099,757
535109,758
535119,758
535138,756
535141,759
535150,757
535160,759
535170,758
535180,759
535190,757
535200,759
535211,757
535220,758
535230,757
535240,759
535250,757
535260,758
535270,757
535280,759
535290,757
535300,758
535310,757
535320,759
535330,757
535340,758
535350,757
535360,759
535370,757
535380,759
535390,757
535400,759
535410,757
535420,759
535430,757
535440,759
535450,757
535460,759
535470,758
535480,759
535490,757
535500,759
535511,757
535521,760
535531,756
535541,760
535552,756
535561,759
535571,756
535581,760
535591,756
535601,760
535611,756
535621,760
535631,756
535641,760
535651,756
535661,760
535681,760
535684,760
535693,755
535703,760
535713,755
535724,760
535734,755
535744,760
535754,755
535764,760
535774,755
535784,760
535794,755
535804,760
535814,754
535824,760
535834,755
535844,760
535854,755
535864,760
535874,755
535884,760
535895,755
535905,760
535915,755
535925,759
535936,755
535945,760
535955,755
535965,759
535975,755
535985,760
535995,755
536005,759
536015,755
536025,760
536035,755
536045,759
536055,755
536065,760
536075,755
536085,759
536095,755
536105,759
536115,755
536125,759
536135,755
536145,759
536155,755
536165,759
536175,755
536185,760
536195,755
536205,759
536224,759
536227,759
536236,756
536246,759
536256,756
536266,759
536276,757
536286,759
536296,756
536306,759
536316,757
536326,759
536336,756
536346,759
536356,757
536366,759
536376,756
536386,759
536396,757
536407,758
536417,757
536427,758
536437,758
536448,757
536457,758
536467,758
536477,758
536487,758
536497,758
536507,758
536517,758
536527,757
536537,758
536547,758
536557,758
536567,758
536577,758
536587,758
536597,758
536607,758
536617,758
536627,758
536637,758
536647,758
536657,758
536667,758
536677,758
536687,758
536697,759
536707,758
536717,758
536727,758
536737,759
536748,758
536758,759
536777,759
536780,761
536790,756
536799,760
536809,756
536819,760
536829,756
536839,760
536849,756
536859,760
536869,756
536879,760
536889,756
536899,760
536909,756
536919,760
536929,756
536939,760
536949,756
536960,760
536969,756
536979,760
536989,756
536999,760
